"Dataset","N","Alpha_CM","Alpha_CM_LCI","Alpha_CM_UCI","Alpha_CB","Alpha_CB_LCI","Alpha_CB_UCI","RMSEA","RMSEA_LCI","RMSEA_UCI"
"Study1_SUSPECTS_DEU",2509,0.827,0.817,0.838,0.943,0.939,0.946,0.05,0.046,0.054
"Study1_SUSPECTS_ESP",2516,0.805,0.793,0.817,0.927,0.922,0.931,0.042,0.037,0.046
"Study1_SUSPECTS_FRA",2503,0.825,0.814,0.835,0.931,0.927,0.935,0.049,0.045,0.053
"Study1_SUSPECTS_GBR",2503,0.801,0.789,0.813,0.936,0.933,0.94,0.042,0.037,0.046
"Study1_SUSPECTS_ITA",2501,0.818,0.807,0.829,0.935,0.932,0.939,0.05,0.046,0.054
"Study1_SUSPECTS_POL",2515,0.801,0.788,0.813,0.932,0.928,0.936,0.043,0.039,0.047
"Study1_SUSPECTS_SWE",2504,0.833,0.822,0.843,0.942,0.939,0.946,0.053,0.049,0.057
"Study1_SUSPECTS_USA",2500,0.822,0.811,0.833,0.941,0.938,0.945,0.034,0.029,0.038
"Study2_ACTS_USA",2020,0.863,0.853,0.872,0.835,0.824,0.846,0.091,0.085,0.097
"Study3_CMQ_Australia",1004,0.838,0.822,0.854,0.847,0.831,0.862,0.1,0.09,0.111
"Study3_CMQ_Brazil",994,0.81,0.79,0.828,0.829,0.81,0.845,0.099,0.088,0.109
"Study3_CMQ_Canada",980,0.879,0.867,0.891,0.886,0.874,0.897,0.126,0.116,0.137
"Study3_CMQ_Germany",1003,0.911,0.902,0.919,0.83,0.812,0.847,0.124,0.114,0.135
"Study3_CMQ_Lebanon",899,0.836,0.818,0.852,0.661,0.624,0.696,0.091,0.08,0.102
"Study3_CMQ_Morocco",1028,0.811,0.792,0.829,0.687,0.654,0.717,0.093,0.083,0.103
"Study3_CMQ_South Africa",981,0.814,0.795,0.832,0.84,0.823,0.856,0.105,0.095,0.116
"Study3_CMQ_United States",978,0.884,0.872,0.895,0.762,0.737,0.786,0.155,0.144,0.165
